Title,User Rating,Genres,Cast
Elemental,78.0,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey', ""Catherine O'Hara"", 'Mason Wertheimer', 'Ronobir Lahiri', 'Wilma Bonet']"
Heart of Stone,70,"['Thriller', 'Action']","['Gal Gadot', 'Jamie Dornan', 'Alia Bhatt', 'Sophie Okonedo', 'Matthias Schweighöfer', 'Paul Ready', 'Jing Lusi', 'Enzo Cilenti', 'Joe Reisig']"
Spider-Man: Across the Spider-Verse,85.0,"['Animation', 'Action', 'Adventure']","['Shameik Moore', 'Hailee Steinfeld', 'Jason Schwartzman', 'Oscar Isaac', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Issa Rae', 'Karan Soni']"
Transformers: Rise of the Beasts,75.0,"['Action', 'Adventure', 'Science Fiction']","['Anthony Ramos', 'Dominique Fishback', 'Peter Cullen', 'Ron Perlman', 'Peter Dinklage', 'Michelle Yeoh', 'Pete Davidson', 'Liza Koshy', 'Cristo Fernández']"
Barbie,74.0,"['Comedy', 'Adventure', 'Fantasy']","['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Kate McKinnon', 'Ariana Greenblatt', 'Michael Cera', 'Will Ferrell', 'Issa Rae', 'Alexandra Shipp']"
The Flash,70,"['Action', 'Adventure', 'Science Fiction']","['Ezra Miller', 'Sasha Calle', 'Michael Keaton', 'Michael Shannon', 'Ron Livingston', 'Maribel Verdú', 'Kiersey Clemons', 'Antje Traue', 'Saoirse-Monica Jackson']"
Meg 2: The Trench,69.0,"['Action', 'Science Fiction', 'Horror']","['Jason Statham', 'Wu Jing', 'Shuya Sophia Cai', 'Sergio Peris-Mencheta', 'Skyler Samuels', 'Cliff Curtis', 'Page Kennedy', 'Sienna Guillory', 'Melissanthi Mahut']"
The Flood,69.0,"['Action', 'Horror', 'Thriller']","['Nicky Whelan', 'Casper Van Dien', 'Louis Mandylor', 'Devanny Pinn', 'Randy Wayne', 'Kim DeLonghi', 'Ryan Francis', 'Mike Ferguson', ""Eoin O'Brien""]"
Cobweb,68.0,['Horror'],"['Woody Norman', 'Lizzy Caplan', 'Antony Starr', 'Cleopatra Coleman', 'Anton Kottas', 'Luke Busey', 'Jay Rincon', 'Steffanie Sampson', 'Aleksandra Dragova']"
No Hard Feelings,71.0,"['Comedy', 'Romance']","['Jennifer Lawrence', 'Andrew Barth Feldman', 'Laura Benanti', 'Matthew Broderick', 'Natalie Morales', 'Scott MacArthur', 'Ebon Moss-Bachrach', 'Kyle Mooney', 'Hasan Minhaj']"
Fast X,73.0,"['Action', 'Crime', 'Thriller']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa']"
Insidious: The Red Door,69.0,"['Horror', 'Mystery', 'Thriller']","['Ty Simpkins', 'Patrick Wilson', 'Sinclair Daniel', 'Rose Byrne', 'Lin Shaye', 'Hiam Abbass', 'Andrew Astor', 'Juliana Davies', 'Steve Coulter']"
Babylon 5: The Road Home,73.0,"['Animation', 'Science Fiction', 'Action', 'Adventure']","['Bruce Boxleitner', 'Claudia Christian', 'Peter Jurasik', 'Bill Mumy', 'Tracy Scoggins', 'Patricia Tallman', 'Paul Guyet', 'Anthony Hansen', 'Mara Junot']"
Soulcatcher,65.0,"['Action', 'Adventure', 'Thriller']","['Piotr Witkowski', 'Jacek Koman', 'Jacek Poniedziałek', 'Mariusz Bonaszewski', 'Aleksandra Adamska', 'Sebastian Stankiewicz', 'Michalina Olszańska']"
Hidden Strike,71.0,"['Action', 'Adventure', 'Thriller', 'Comedy']","['Jackie Chan', 'John Cena', 'Ma Chunrui', 'Jiang Wenli', 'Xu Jia', 'Gong Jun', 'Rima Zeidan', 'Neo Hou', 'Pilou Asbæk']"
The Little Mermaid,66.0,"['Adventure', 'Family', 'Fantasy', 'Romance']","['Halle Bailey', 'Jonah Hauer-King', 'Daveed Diggs', 'Awkwafina', 'Jacob Tremblay', 'Noma Dumezweni', 'Javier Bardem', 'Melissa McCarthy', 'Art Malik']"
Dampyr,66.0,"['Horror', 'Fantasy', 'Action']","['Wade Briggs', 'Stuart Martin', 'Frida Gustavsson', 'Sebastian Croft', 'Luke Roberts', 'David Morrissey', 'Radu Andrei Micu', 'Ionut Grama', 'Florin Frăţilă']"
Resident Evil: Death Island,77.0,"['Animation', 'Action', 'Horror']","['Matthew Mercer', 'Kevin Dorman', 'Erin Cahill', 'Nicole Tompkins', 'Stephanie Panisello', 'Salli Saffioti', 'Cristina Valenzuela', 'Daman Mills', 'Frank Todaro']"
Guardians of the Galaxy Vol. 3,80,"['Science Fiction', 'Adventure', 'Action']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Karen Gillan', 'Pom Klementieff', 'Vin Diesel', 'Bradley Cooper', 'Sean Gunn', 'Chukwudi Iwuji']"
Zom 100: Bucket List of the Dead,67.0,"['Comedy', 'Horror', 'Action']","['Eiji Akaso', 'Mai Shiraishi', 'Shuntaro Yanagi', 'Kazuki Kitamura', 'Yui Ichikawa', 'Mayo Kawasaki', 'Akari Hayami', 'Yo Takahashi', 'Miwako Kakei']"
Blue Beetle,69.0,"['Action', 'Science Fiction']","['Xolo Mariduena', 'Bruna Marquezine', 'George Lopez', 'Belissa Escobedo', 'Adriana Barraza', 'Damián Alcázar', 'Elpidia Carrillo', 'Susan Sarandon', 'Raoul Max Trujillo']"
Kingdom 2: Far and Away,69.0,"['Action', 'Adventure', 'War']","['Kento Yamazaki', 'Ryo Yoshizawa', 'Kanna Hashimoto', 'Nana Seino', 'Takao Osawa', 'Amane Okayama', 'Takahiro Miura', 'Takayuki Hamatsu', 'Etsushi Toyokawa']"
John Wick: Chapter 4,78.0,"['Action', 'Thriller', 'Crime']","['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane', 'Laurence Fishburne', 'Lance Reddick', 'Clancy Brown', 'Hiroyuki Sanada', 'Rina Sawayama']"
Talk to Me,72.0,"['Horror', 'Thriller']","['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird', 'Otis Dhanji', 'Miranda Otto', 'Zoe Terakes', 'Chris Alosio', 'Marcus Johnson', 'Alexandria Steffensen']"
Shin Kamen Rider,71.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Science Fiction']","['Sosuke Ikematsu', 'Minami Hamabe', 'Tasuku Emoto', 'Mirai Moriyama', 'Nanase Nishino', 'Toru Tezuka', 'Nao Omori', 'Kanata Hongo', 'Masami Nagasawa']"
Oppenheimer,83.0,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']"
"Ruby Gillman, Teenage Kraken",76.0,"['Animation', 'Family', 'Fantasy', 'Comedy']","['Lana Condor', 'Toni Collette', 'Annie Murphy', 'Sam Richardson', 'Liza Koshy', 'Will Forte', 'Colman Domingo', 'Jaboukie Young-White', 'Blue Chapman']"
Warhorse One,72.0,"['Action', 'Drama', 'War']","['Johnny Strong', 'Athena Durner', 'Raj Kala', 'James Sherrill', 'Michael Sauers']"
River Wild,65.0,"['Mystery', 'Thriller', 'Adventure']","['Adam Brody', 'Leighton Meester', 'Taran Killam', 'Olivia Swann', 'Eve Connolly', 'Nicholas Wittman', 'Courtney Chen', 'Matt Devere']"
The Super Mario Bros. Movie,78.0,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Sebastian Maniscalco', 'Charles Martinet']"
Head to Head,67.0,"['Comedy', 'Thriller', 'Action']","['Abdulaziz Alshehri', 'Ziyad Alamri', 'Adel Radwan', 'Mohammad Alqass', 'Ida Alkusay', 'Hesham Alhosawi', 'Ahmed Kaabi', 'Saleh Alkhalaqi', 'Riad Alsalhani']"
Justice League: Warworld,73.0,"['Animation', 'Action', 'Science Fiction', 'Adventure']","['Jensen Ackles', 'Darren Criss', 'Stana Katic', 'Ike Amadi', 'Troy Baker', 'Matt Bomer', 'Roger Cross', 'Brett Dalton', 'Trevor Devall']"
Kingdom 3: The Flame of Fate,78.0,"['Action', 'Adventure', 'War']","['Kento Yamazaki', 'Ryo Yoshizawa', 'Kanna Hashimoto', 'Nana Seino', 'Hiroshi Tamaki', 'Koichi Sato', 'Takao Osawa', 'Anne Watanabe', 'Yuki Yamada']"
Knights of the Zodiac,67.0,"['Fantasy', 'Action', 'Adventure']","['Mackenyu', 'Madison Iseman', 'Diego Tinoco', 'Mark Dacascos', 'Nick Stahl', 'Famke Janssen', 'Sean Bean', 'Caitlin M Hutson', 'Katie Moy']"
